openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,numberOfTrades,takerBuyBaseVolume,takerBuyQuoteVolume,ignore,openTime_dt,closeTime_dt,symbol,interval
1768176000000,0.401,0.4578,0.3868,0.4006,100787474.1,1768780799999,42731417.33034,427290,50253972.2,21306163.40584,0,2026-01-12,2026-01-18 23:59:59.999,CRVUSDT,1w
1768780800000,0.4008,0.4008,0.3339,0.3442,95602700.1,1769385599999,35266820.62355,361639,47516401.3,17537090.34662,0,2026-01-19,2026-01-25 23:59:59.999,CRVUSDT,1w
1769385600000,0.3442,0.3587,0.2608,0.2795,181116424.4,1769990399999,56827893.54611,551556,87736660.5,27553728.60291,0,2026-01-26,2026-02-01 23:59:59.999,CRVUSDT,1w
1769990400000,0.2795,0.2919,0.203,0.2525,266084481.4,1770595199999,68910889.54357,797313,138644960.6,36015616.66978,0,2026-02-02,2026-02-08 23:59:59.999,CRVUSDT,1w
1770595200000,0.2524,0.271,0.2243,0.2501,162594212.6,1771199999999,39533583.33014,362868,79875131.5,19386088.09035,0,2026-02-09,2026-02-15 23:59:59.999,CRVUSDT,1w
1771200000000,0.2501,0.2597,0.2269,0.2322,80471783.2,1771804799999,19753260.05052,218120,39928063.0,9800983.57598,0,2026-02-16,2026-02-22 23:59:59.999,CRVUSDT,1w
1771804800000,0.2322,0.2647,0.2158,0.242,133220811.0,1772409599999,32043821.88275,326779,67475259.3,16229211.65142,0,2026-02-23,2026-03-01 23:59:59.999,CRVUSDT,1w
1772409600000,0.2421,0.2677,0.2301,0.2327,137661568.8,1773014399999,34087104.86942,292294,71059043.7,17576889.41615,0,2026-03-02,2026-03-08 23:59:59.999,CRVUSDT,1w
1773014400000,0.2326,0.255,0.2252,0.2435,140255681.8,1773619199999,33492088.88686,274277,70606358.1,16863266.98665,0,2026-03-09,2026-03-15 23:59:59.999,CRVUSDT,1w
1773619200000,0.2435,0.26,0.2136,0.2167,109222491.0,1774223999999,26177717.39628,248037,54632400.8,13084675.28615,0,2026-03-16,2026-03-22 23:59:59.999,CRVUSDT,1w
1774224000000,0.2167,0.2415,0.2031,0.2081,130740785.0,1774828799999,28957140.16857,262078,66739107.5,14779039.86867,0,2026-03-23,2026-03-29 23:59:59.999,CRVUSDT,1w
1774828800000,0.2082,0.2276,0.2077,0.2102,63660671.4,1775433599999,13802191.17581,120970,32529162.4,7051461.87069,0,2026-03-30,2026-04-05 23:59:59.999,CRVUSDT,1w
1620604800000,249.28,2831.02,205.07,225.19,5389743.75,1621209599999,1838239045.4762,2576910,2693181.7,916789470.0802,0,2021-05-10,2021-05-16 23:59:59.999,ICPUSDT,1w
1621209600000,225.16,226.35,92.0,143.94,10943252.45,1621814399999,1770701512.3278,2663753,5572634.47,905212260.652,0,2021-05-17,2021-05-23 23:59:59.999,ICPUSDT,1w
1621814400000,143.97,163.6,104.4,111.9,5844860.28,1622419199999,780534566.4091,1278359,2910120.34,388935771.883,0,2021-05-24,2021-05-30 23:59:59.999,ICPUSDT,1w
