symbol,bidPrice,bidQty,askPrice,askQty
FLOWBNB,0.00000000,0.00000000,0.00000000,0.00000000
FLOWBUSD,0.00000000,0.00000000,0.00000000,0.00000000
FLOWUSDT,0.02990000,4868.63000000,0.02991000,3825.00000000
XECBUSD,0.00000000,0.00,0.00000000,0.00
AXSBRL,0.00000000,0.00000000,0.00000000,0.00000000
AXSAUD,0.00000000,0.00000000,0.00000000,0.00000000
TVKUSDT,0.00000000,0.00000000,0.00000000,0.00000000
MINABTC,0.00000000,0.00000000,0.00000000,0.00000000
MINABNB,0.00000000,0.00000000,0.00000000,0.00000000
MINABUSD,0.00000000,0.00000000,0.00000000,0.00000000
MINAUSDT,0.05790000,38895.70000000,0.05800000,32006.80000000
RAYBNB,0.00000000,0.00000000,0.00000000,0.00000000
RAYBUSD,0.00000000,0.00000000,0.00000000,0.00000000
RAYUSDT,0.64900000,1371.70000000,0.65000000,6726.20000000
FARMBTC,0.00000000,0.00000000,0.00000000,0.00000000
FARMBNB,0.00000000,0.00000000,0.00000000,0.00000000
FARMBUSD,0.00000000,0.00000000,0.00000000,0.00000000
FARMUSDT,11.29000000,31.73800000,11.30000000,3.51000000
ALPACABTC,0.00000000,0.00000000,0.00000000,0.00000000
ALPACABNB,0.00000000,0.00000000,0.00000000,0.00000000
ALPACABUSD,0.00000000,0.00000000,0.00000000,0.00000000
ALPACAUSDT,0.00000000,0.00000000,0.00000000,0.00000000
TLMTRY,0.07170000,577194.00000000,0.07180000,1063464.00000000
QUICKUSDT,0.00930000,20574.00000000,0.00932000,11278.00000000
ORNBUSD,0.00000000,0.00000000,0.00000000,0.00000000
MBOXBTC,0.00000000,0.00000000,0.00000000,0.00000000
MBOXBNB,0.00000000,0.00000000,0.00000000,0.00000000
MBOXBUSD,0.00000000,0.00000000,0.00000000,0.00000000
MBOXUSDT,0.01330000,1026371.80000000,0.01340000,183400.70000000
VGXBTC,0.00000000,0.00000000,0.00000000,0.00000000
VGXETH,0.00000000,0.00000000,0.00000000,0.00000000
FORUSDT,0.00000000,0.00000000,0.00000000,0.00000000
REQUSDT,0.06570000,10901.00000000,0.06580000,1029.00000000
GHSTUSDT,0.00000000,0.00000000,0.00000000,0.00000000
TRURUB,0.00000000,0.00000000,0.00000000,0.00000000
FISBRL,0.00000000,0.00000000,0.00000000,0.00000000
WAXPUSDT,0.00644000,469044.00000000,0.00645000,21150.00000000
WAXPBUSD,0.00000000,0.00000000,0.00000000,0.00000000
WAXPBNB,0.00000000,0.00000000,0.00000000,0.00000000
WAXPBTC,0.00000000,0.00000000,0.00000000,0.00000000
TRIBEBTC,0.00000000,0.00000000,0.00000000,0.00000000
TRIBEBNB,0.00000000,0.00000000,0.00000000,0.00000000
TRIBEBUSD,0.00000000,0.00000000,0.00000000,0.00000000
TRIBEUSDT,0.00000000,0.00000000,0.00000000,0.00000000
GNOUSDT,120.56000000,1.07700000,120.74000000,1.24400000
GNOBUSD,0.00000000,0.00000000,0.00000000,0.00000000
GNOBNB,0.00000000,0.00000000,0.00000000,0.00000000
GNOBTC,0.00000000,0.00000000,0.00000000,0.00000000
ARPATRY,0.40690000,5146.00000000,0.40760000,5146.00000000
PROMBTC,0.00000000,0.00000000,0.00000000,0.00000000
MTLBUSD,0.00000000,0.00000000,0.00000000,0.00000000
OGNBUSD,0.00000000,0.00000000,0.00000000,0.00000000
XECUSDT,0.00000666,20075282.00,0.00000667,233977443.00
C98BRL,0.00000000,0.00000000,0.00000000,0.00000000
SOLAUD,0.00000000,0.00000000,0.00000000,0.00000000
XRPBIDR,0.00,0.00000000,0.00,0.00000000
POLYBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ELFUSDT,0.00000000,0.00000000,0.00000000,0.00000000
DYDXUSDT,0.09710000,8429.00000000,0.09720000,3488.90000000
DYDXBUSD,0.00000000,0.00000000,0.00000000,0.00000000
DYDXBNB,0.00000000,0.00000000,0.00000000,0.00000000
DYDXBTC,0.00000000,0.00000000,0.00000000,0.00000000
ELFBUSD,0.00000000,0.00000000,0.00000000,0.00000000
POLYUSDT,0.00000000,0.00000000,0.00000000,0.00000000
IDEXUSDT,0.00000000,0.00000000,0.00000000,0.00000000
VIDTUSDT,0.00000000,0.00000000,0.00000000,0.00000000
SOLBIDR,0.00,0.00000000,0.00,0.00000000
AXSBIDR,0.00,0.00000000,0.00,0.00000000
BTCUSDP,0.00000000,0.00000000,0.00000000,0.00000000
ETHUSDP,0.00000000,0.00000000,0.00000000,0.00000000
BNBUSDP,0.00000000,0.00000000,0.00000000,0.00000000
USDPBUSD,0.00000000,0.00000000,0.00000000,0.00000000
USDPUSDT,0.99970000,6378.00000000,0.99990000,419.00000000
GALAUSDT,0.00287000,170600.00000000,0.00288000,4869491.00000000
GALABUSD,0.00000000,0.00000000,0.00000000,0.00000000
GALABNB,0.00000000,0.00000000,0.00000000,0.00000000
GALABTC,0.00000000,0.00000000,0.00000000,0.00000000
FTMBIDR,0.00,0.00000000,0.00,0.00000000
ALGOBIDR,0.00,0.00000000,0.00,0.00000000
CAKEAUD,0.00000000,0.00000000,0.00000000,0.00000000
KSMAUD,0.00000000,0.00000000,0.00000000,0.00000000
WAVESRUB,0.00000000,0.00000000,0.00000000,0.00000000
SUNBUSD,0.00000000,0.00000000,0.00000000,0.00000000
ILVUSDT,3.85000000,730.78500000,3.86000000,143.78300000
